# AVERTISSEMENT: Ce jeu de données est en cours de construction et d'amélioration.
# Il ne doit pas engager la responsabilité de l'ANSSI et est fourni à des fins de développement uniquement.
#
REF Guide,REF Question,Question type,Tags,REF Réponse,Réponse envisagée,Numéro page (lecteur),Localisation paragraphe,Réponse Bot,Note réponse (/10),Commentaire Note
GAUT,GAUT.Q.25,Comment stocker de façon sécurisée les mots de passe ? ,Usuelle,GAUT.R.25,"Pour le stockage sécurisé des mots de passe, il est recommandé de :
- Utiliser un sel aléatoire suffisamment long;
- Utiliser une fonction de dérivation de mots de passe memory-hard pour conserver les mots de passe (ou si cela est impossible, utiliser une fonction de dérivation de mots de passe itérative).",35,"Premier, quatrième et cinquième paragraphes","Pour stocker de manière sécurisée les mots de passe, les documents officiels de l'ANSSI recommandent les pratiques suivantes :

1. **Utiliser des coffres-forts de mots de passe** : Ces outils permettent de stocker les mots de passe de manière chiffrée, protégés par un mot de passe ""maître"" que l'utilisateur doit mémoriser. Ils évitent d'avoir à retenir plusieurs mots de passe complexes (*cyber.gouv.fr*).
2. **Stocker uniquement des empreintes (hachés) cryptographiques** : Les mots de passe ne doivent jamais être stockés en clair. À la place, il faut utiliser des fonctions de hachage cryptographique (comme SHA2 ou SHA3) pour créer des empreintes à sens unique (*cyber.gouv.fr*).
3. **Éviter les méthodes non sécurisées** : Les solutions comme le stockage sur papier, les fichiers non chiffrés ou l'envoi par e-mail sont déconseillées, car elles exposent les mots de passe aux attaques (*cyber.gouv.fr*).

Ces recommandations visent à protéger les mots de passe contre les fuites et les compromis, tout en facilitant leur gestion pour les utilisateurs.",1,ATTENTION : Il mélange utilisateur et côté systèmes
GAUT,GAUT.Q.26,Comment mettre en place un processus de recouvrement de mots de passe ?,Usuelle,GAUT.R.26,"Pour pallier l’oubli ou l’expiration d’un mot de passe, un mécanisme de recouvrement d’accès (au compte, au service, à la ressource, etc) doit être mis en place. De nombreuses méthodes existent et sont dépendantes du contexte d’utilisation. Parmi les plus courantes, on peut citer : la réception d’un mot de passe temporaire autogénéré (qui doit alors être changé sans tarder), la réception d’un lien temporaire à usage unique de réinitialisation, le contact du support informatique, etc.
Ces méthodes viennent avec leurs problématiques propres : le choix du mode de réception (par courriel, SMS, envoi postal, téléphone, etc), le choix du temps de validité de liens temporaires, la complexité de ces méthodes pour l’utilisateur, l’ajout ou non de vérificateur humain, etc. Cela rend très difficile la recommandation d’une méthode en particulier. En revanche, la transmission du mot de passe originel en clair est à éviter.",36,Premier paragraphe,"Pour mettre en place un processus de recouvrement de mots de passe, les documents officiels de l'ANSSI recommandent les approches suivantes :

1. **Méthodes adaptées au contexte** : Choisir une méthode adaptée à l'environnement d'utilisation (ex. : mot de passe temporaire autogénéré, lien de réinitialisation à usage unique, contact du support) en évitant la transmission du mot de passe originel en clair (*Document : ""4.7 Recouvrement d'un accès""*).
2. **Sécurisation du processus** : Protéger le mécanisme de renouvellement pour éviter que l'attaquant n'accède au nouveau mot de passe (*Document : ""4.7 Recouvrement d'un accès""*).
3. **Complémentarité avec d'autres mesures** : Associer le recouvrement à des contrôles de robustesse (ex. : vérification contre des dictionnaires de mots de passe compromis) et une politique de réinitialisation stricte (*Documents : ""4.5 Contrôle de la robustesse des mots de passe"", ""R27""*).

**Références** :
- *Guide ANSSI ""5.8 Recouvrement d'un accès""*
- *Recommandations R30 et R27*",10,
GAUT,GAUT.Q.27,Quel outil mettre à disposition des utilisateurs pour la gestion de leurs mots de passe ? ,Usuelle,GAUT.R.27,"Il est recommandé que les responsables du système d’information mettent à disposition des utilisateurs un coffre-fort de mots de passe et les forment à son utilisation.
Le moyen d’authentification permettant de déverrouiller l’accès aux mots de passe contenus dans le coffre-fort a évidemment une importance majeure. Il prend souvent la forme d’un mot de passe, dit mot de passe « maître », qui doit être robuste et mémorisé par un humain. Ce mot de passe est très critique et sa compromission entraînerait la compromission de tous les mots de passe contenus dans le coffre-fort. De nombreuses solutions de coffres-forts de mots de passe proposent également l’ajout d’un second facteur d’authentification afin de mieux protéger l’accès au coffre-fort de mots de passe.",36,Cinquième paragraphe,"Pour la gestion des mots de passe, l'outil recommandé est un **coffre-fort de mots de passe**. Ce type d'outil permet de :
- Stocker les mots de passe de manière sécurisée (dans une base de données chiffrée).
- Générer des mots de passe robustes et uniques pour chaque service.
- Ne nécessiter la mémorisation que d'un seul mot de passe maître.

Cette solution est conforme aux recommandations **R31** et **R34** du document, qui encouragent la mise à disposition et l'utilisation de coffres-forts de mots de passe (comme *Keepass* par exemple) pour faciliter l'application des bonnes pratiques en matière de robustesse et de gestion des mots de passe.

**Source :** Document mentionné (références R31, R34 et section 4.8).",10,
GAUT,GAUT.Q.28,Quelles sont les recommandations à faire aux utilisateurs au sujet des mots de passe ? ,Usuelle,GAUT.Q.28,"Il est recommandé de faire les recommandations suivantes aux utilisateurs :
-  Utiliser des mots de passe robustes;
- Utiliser un mot de passe différent pour chaque service;
- Utiliser un coffre-fort de mots de passe;
- Protéger ses mots de passe;
- Utiliser un mot de passe robuste pour l'accès à sa messagerie électronique;
- Choisir un mot de passe sans information personnelle;
- Modifier les mots de passe par défaut.","37
38","37 - Troisième, quatrième, cinquième, sixième et huitième paragraphes
38 - Deuxième et quatrième paragraphes",,,
GAUT,GAUT.Q.29,Quelles sont les recommandations liées à l'utilisation d'un facteur de possession ? ,Usuelle,GAUT.R.29,"Pour l'utilisation d'un facteur de possession, il est recommandé d'utiliser si possible un facteur de possession intégrant un composant de sécurité (dont le composant de sécurité a reçu un visa de sécurité de l’ANSSI lorsque cela est possible).",40,Deuxième à quatrième paragraphes,,,
GAUT,GAUT.Q.30,Quelles sont les recommandations liées à l'utilisation d'un facteur inhérent ? ,Usuelle,GAUT.R.30,"Pour l'utilisation d'un facteur inhérent, il est recommander de :
- Ne pas utiliser un facteur inhérent comme unique facteur d'authentification;
- Utiliser un facteur inhérent uniquement associé à un facteur d'authentification fort;
- Favoriser une rencontre en présence lors de l'enregistrement d'un facteur inhérent.","43
44","43 - Cinquième et sixième paragraphes
44 - Premier paragraphe",,,
GCRI,GCRI.Q.1,Qu’est-ce qu’une crise cyber ?,Usuelle,GCRI.R.1,"Une crise « d’origine cyber » se définit par la déstabilisation immédiate et majeure du fonctionnement courant d’une organisation (arrêt des activités, impossibilité de délivrer des services, pertes financières lourdes, perte d’intégrité majeure, etc.) en raison d’une ou de plusieurs actions malveillantes sur ses services et ses outils numériques (cyberattaques de type rançongiciel, déni de service, etc.). C’est donc un évènement à fort impact, qui ne saurait être traité par les processus habituels et dans le cadre du fonctionnement normal de l’organisation.",10,Premier parapgraphe,,,
GCRI,GCRI.Q.2,Quelles sont les spécificités d'une crise cyber ?,Usuelle,GCRI.R.2,"En comparaison à d’autres scénarios de crise, les crises cyber ont des caractéristiques propres qu’il est important d’appréhender :
- une double temporalité, avec des impacts immédiats et une remédiation longue pouvant s’étendre sur plusieurs semaines, voire plusieurs mois;
- une absence d’unicité de lieu de réalisation, qui sous-entend une potentielle propagation à d’autres organisations en raison de l’interconnexion des SI;
- une menace s’adaptant aux mesures d’endiguement et de remédiation;
- une incertitude concernant le périmètre de la compromission;
- une complexité pour comprendre les objectifs de l’attaquant et attribuer l’origine de l’attaque.","10
11","10 - Troisième à cinquième paragraphe
11 - Premier à troisième paragraphe","### Réponse :
Les spécificités d'une crise cyber, selon le document *""Les enjeux de la préparation à la gestion d'une crise d'origine cyber""*, incluent :

1. **Double temporalité** : impacts immédiats combinés à une remédiation longue (plusieurs semaines ou mois).
2. **Propagation potentielle** : absence d'unicité de lieu en raison de l'interconnexion des systèmes d'information (SI), pouvant toucher d'autres organisations.
3. **Nécessité d'une organisation dédiée** : mobilisation conjointe de profils métiers, cybersécurité (IT) et stratégique, avec des cellules spécifiques (stratégique, opérationnelle, communication, etc.).
4. **Fonctionnement en mode dégradé** : adaptation des activités critiques en cas d'indisponibilité prolongée des outils numériques (PCA/PRA cyber, outils de communication hors réseau, etc.).

🔗 **Source** : *""Les enjeux de la préparation à la gestion d'une crise d'origine cyber""* (ANSSI).",,"Pas la même réponse que dans le guide.

Et quand j'essaye d'ajouter une question un peu loufoque après :
### Réponse aux spécificités d'une crise cyber :
Une crise cyber est définie par une déstabilisation majeure du fonctionnement d'une organisation en raison d'actions malveillantes ciblant ses systèmes numériques (ex. rançongiciels, dénis de service).
Ses spécificités incluent :
- **Double temporalité** : impacts immédiats et remédiation longue (semaines/mois) *(ANSSI-PA-089, ""Les spécificités des crises cyber"")*.
- **Absence d'unicité de lieu** : risque de propagation via l'interconnexion des SI *(ANSSI-PA-089, ""Les spécificités des crises cyber"")*.
- **Nécessité d'une préparation transversale** : impliquant directions métier et dirigeants pour maintenir l'activité *(ANSSI-PA-089, Éditorial et Partie 1)*.

### Réponse à la recette de la tarte pomme :
Les documents fournis ne permettent pas de répondre directement à cette question.
--> Pas la même réponse les deux fois."
GCRI,GCRI.Q.3,Comment se préparer à affronter une crise cyber ?,Complexe,GCRI.R.3,"Pour se préparer à affronter une crise cyber, il faut :
- Connaître et maîtriser ses systèmes d'information;
- Mettre en place un socle de capacités opérationnelles permettant de garantir un niveau adapté de résilience numérique;
- Formaliser une stratégie de communication de crise cyber;
- Adapter son organisation de crise au scénario cyber;
- Préparer ses capacités de réponse à incident;
- Mettre en place des polices d'assurance adaptées;
- S'entraîner pour pratiquer et s'améliorer.","14
16
20
22
26
28
30","14 - Titre
16 - Titre
20 - Titre
22 - Titre
26 - Titre
28 - Titre
30 - Titre","Pour se préparer à affronter une crise cyber, les organisations doivent suivre des étapes clés issues du guide **ANSSI-PA-089** (ANSSI, 2021) :

1. **Mettre en place une organisation résiliente** :
   - Adapter les dispositifs de gestion de crise (cellule dédiée, moyens logistiques, plans de réaction) aux spécificités des incidents cyber.
   - Identifier les experts à solliciter et définir des critères d’activation rapide des cellules de crise (*Fiche 4*).

2. **Préparer des capacités de réaction** :
   - Développer des réponses **stratégiques** (communication, gestion des impacts juridiques/financiers) et **techniques** (remédiation, continuité d’activité).
   - Former les équipes (experts cyber, métiers, dirigeants) et organiser des exercices réguliers (*Fiche 4*).

3. **Intégrer la communication de crise** :
   - Anticiper les attentes des parties prenantes (clients, médias, autorités) et préparer des outils de communication adaptés (*Fiche 3*).

4. **Maintenir les activités critiques** :
   - Prioriser les services essentiels et assurer leur fonctionnement en mode dégradé.",,"La réponse semble prendre juste certains éléments

Pour se préparer à affronter une crise cyber, les organisations doivent mettre en place des processus et outils éprouvés, comme le recommande l'ANSSI dans son guide **Gestion de crise cyber (ANSSI-PA-089)**. Voici les principales actions à entreprendre :

1. **Adapter l'organisation de crise** :
   - Mettre en place des critères et procédures d'activation des cellules de crise.
   - Identifier les experts à solliciter (techniques, stratégiques, métiers).
   - Définir un plan d'entraînement pour simuler des scénarios cyber.

2. **Anticiper les impacts** :
   - Prévoir des capacités de réaction techniques et stratégiques face aux menaces.
   - Adapter l'assurance aux besoins spécifiques de l'organisation.

3. **Associer les directions métiers** :
   - Intégrer la gestion de crise dans la stratégie globale de résilience.
   - Former les équipes (experts cyber et métiers) pour maintenir l'activité en cas d'attaque.

Ces mesures visent à limiter les impacts, maintenir la confiance et prioriser les activités critiques en mode dégradé.

**Sources** : Guide *Gestion de crise cyber* (ANSSI-PA-089, décembre 2021), notamment les parties éditoriale, introduction et fiche 4.

--> Et ce n'est pas la même réponse"
GCRI,GCRI.Q.4,"Lors de la préparation à la crise cyber, comment s'assurer de connaître et maîtriser ses systèmes d'information ?",Complexe,GCRI.R.4,"Pour se préparer à affronter une crise cyber, il est important de connaître et de maîtriser ses systèmes d'information. Pour cela, il est recommandé a minima de :
- Lister les applications et services critiques rendus par l'organisation;
- Cartographier les systèmes sur lesquels reposent les applications et services critiques;
- Cartographier les périphériques des SI;
- Lister les interdépendances des SI entre les métiers et les partenaires externes;
- Cartographier les parties prenantes (et leurs points de contact);
- Lister les moyens de supervision et de détection et leur périmètre;
- Formaliser une politique de rétention des journaux/logs applicatifs et réseaux;
- Formaliser une matrice des flux d'informations;
- Formaliser les architectures des réseaux et des éléments fonctionnels, permettant de faire le lien entre les SI et les processus métiers.",14,TOUT,,,
GCRI,GCRI.Q.5,"Lors de la préparation à la crise cyber, comment mettre en place un socle de capacités opérationnelles permettant de garantir un niveau adapté de résilience numérique ?",Usuelle,GCRI.R.5,"Pour se préparer à affronter une crise cyber, il est important de mettre en place un socle de capacités opérationnelles permettant de garantir un niveau adapté de résilience numérique. Pour cela, il est recommandé de :
- Adapter le plan de continuité d’activité au scénario de crise cyber;
- Réaliser un plan de reprise des activités pour le scénario cyber;
- Mettre en place des outils de conduite de crise résilients (procédures, outils déconnectés, moyens de communication alternatifs, etc.).","17
18
19","17 - Premier paragraphe
18 - Premier paragraphe
19 - Premier paragraphe",,,
GCRI,GCRI.Q.6,"Lors de la préparation à la crise cyber, comment formaliser une stratégie de communication de crise cyber ?",Usuelle,GCRI.R.6,"Pour se préparer à affronter une crise cyber, il convient de formaliser en amont une stratégie de communication de crise cyber. Pour cela, il est recommandé de :
- Établir une liste des parties prenantes à contacter;
- Anticiper la stratégie de communication de crise (anticipation des sujets médiatiques, contenu des messages, canaux de communication, etc.).","20
21","20 - Quatrième paragraphe (tableau)
21 - Premier paragraphe (tableau)",,,
GCRI,GCRI.Q.7,"Lors de la préparation à la crise cyber, comment adapter son organisation de crise au scénario cyber ?",Usuelle,GCRI.R.7,"Pour se préparer à affronter une crise cyber, il convient d'adapter son organisation de crise au scénario cyber. Pour cela il est recommandé de :
- Mettre en place des critères et des procédures d’activation des cellules de crise;
- Organiser ses cellules de crise cyber (membres, expertises, ressources).","24
25","24 - TOUT (tableau)
25 - TOUT (tableau)",,,
GCRI,GCRI.Q.8,"Lors de la préparation à la crise cyber, comment préparer ses capacités de réponse à incident ?",Usuelle,GCRI.R.8,"Pour se préparer à affronter une crise cyber, il convient de préparer ses capacités de réponse à incident. Pour cela il est recommandé de :
- Identifier les experts à solliciter en temps de crise;
- Mettre en place les capacités de réactions stratégiques  et techniques face aux différentes menaces (mémos, outils techniques et listes d'actions).",27,TOUT (tableau),,,
GCRI,GCRI.Q.9,"Lors de la préparation à la crise cyber, comment mettre en place des polices d'assurance adaptées ?",Usuelle,GCRI.R.9,"Pour se préparer à affronter une crise cyber, il convient de mettre en place des polices d'assurances adaptées.
En effet, Tout comme une assurance « classique », l’assurance cyber vise à compléter le niveau de protection du patrimoine d’une organisation. Ainsi, selon les conditions du contrat signé, l'assureur peut par exemple appuyer la stratégie de gestion des risques mise en place par l’organisation, assister la victime de l'attaque en lui faisant bénéficier d’expertises ou encore apporter un soutien financier à la victime.
Pour cela, il est recommandé d'adapter l’assurance aux besoins de l’organisation en réalisant un état des lieux, identifiant les besoins en cas de crise cyber et en formalisant une fiche de bonnes pratiques pour faciliter l’utilisation de la police d’assurance en cas de crise (contacts de l’assureur, conservation des justificatifs, etc.)","28
29","28 - Premier et deuxième paragraphe
29 - TOUT (tableau)",,,
GCRI,GCRI.Q.10,"Lors de la préparation à la crise cyber, comment s'entraîner pour pratiquer et s'améliorer ?",Usuelle,GCRI.R.10,"Pour se préparer à affronter une crise cyber, il convient de s'entraîner pour pratique et s'améliorer. En s’entraînant à affronter un enchaînement d’incidents dans des conditions réalistes, les équipes de gestion de crise impliquées développent en effet des réflexes, des méthodes et une confiance pour y faire face. Elles valident ou améliorent leurs dispositifs et leurs pratiques et prennent également l’habitude d’interagir ensemble, en dehors du cadre de travail quotidien.
Pour cela, il est recommandé de définir un plan d’entraînement de crise cyber comprenant la réalisation régulière d'exercices testant des scénarios cyber impliquants des périmètres d'impacts et des menaces différents. Ces exercices doivent faire l'objet d'un plan d'action permettant l'amélioration des dispositifs et pratiques liés à la gestion de crise cyber.","30
31","30 - Premier paragraphe
31 - TOUT (tableau)",,,
GCRI,GCRI.Q.11,Comment réagir efficacement à une crise cyber ? ,Complexe,GCRI.R.11,"Afin de réagir à une crise cyber, les actions des équipes s'articulent au sein de quatre grands phases :
- Alerter, mobiliser le personnel et arrêter la propagation de l’attaque pour protéger les bénéficiaires et l’organisation;
- Comprendre le schéma d’attaque, éjecter l’attaquant, déployer des mesures pour potentiellement travailler sans services et sans outils numériques et communiquer auprès de son écosystème pour maintenir la confiance;
- Durcir les systèmes, restaurer les applications et les données critiques et surveiller l’attaquant pour reprendre le cœur des activités;
- Revenir à la normale et faire le retour d’expérience.",34,Premier à cinquième paragraphes,,,
GCRI,GCRI.Q.12,Quelle est la première phase lors de la réaction à une crise cyber ? ,Complexe,GCRI.R.12,"La première phase consiste à atteindre trois objectifs :
- mobiliser et adapter le dispositif de crise aux enjeux et au rythme de la crise cyber;
- mettre en place les premières mesures d’endiguement et de continuité d’activité;
- alerter les réseaux de soutien.

Pour cela il est recommandé de :
- Activer son dispositif de crise cyber en fonction des critères préétablis et alerter les équipes de gestion de crise de la situation;
- Mobiliser les équipes;
- Comprendre l’attaque et l’étendue des impacts;
- Endiguer l’attaque;
- Assurer un support aux volets communication et juridique;
- Créer des « équipes » cyber (groupes de travail ayant pour rôle de répondre à leurs objectifs dans un délai réduit);
- Mettre en place un support RH adapté;
- Organiser les aspects logistiques de la gestion de crise;
- Activer son assurance cyber;
- Mobiliser et centraliser les demandes de renfort;
- Déclarer son incident auprès des autorités compétentes.","36
37
38
39
41
42
43
44","36 - Troisième à cinquième paragraphes
37 - Quatrième paragraphe (tableau)
38 - Premier paragraphe (tableau)
39 - Troisième paragraphe (tableau)
41 - Deuxième paragraphe (tableau)
42 - Premier paragraphe (tableau)
43 - Deuxième paragraphe (tableau)
44 - Premier paragraphe (tableau)",,,
GCRI,GCRI.Q.13,Quelles sont les deux types de cellules au sein d'une organisation de crise cyber ?,Complexe,GCRI.R.13,"On retrouve au sein d'une organisation de crise cyber deux types de cellules :
- Cellule de crise stratégique/décisionnelle;
- Cellule de crise opérationnelle cyber et IT.",23,TOUT (tableau),,,
GCRI,GCRI.Q.14,Quels sont les objectifs du pilotage du dispositif de crise ?,Usuelle,GCRI.R.14,"On retrouve au sein du pilotage du dispositif de crise un objectif par cellule :
- Pour la cellule stratégique, l'objectif est de comprendre l'attaque et d'en mesurer les impacts;
- Pour la cellule opérationnelle, l'objectif est d'endiguer l'attaque.",39,Troisième paragraphe (tableau),,,
GCRI,GCRI.Q.15,Comment organiser ma sortie de crise ? ,Usuelle,GCRI.R.15,"Pour sortir d'une crise cyber, deux actions doivent être menées :
- La cellule stratégique doit réévaluer les seuils de sortie de crise, définir le plan d'action sur les chantiers à mener après la crise, communiquer sur la sortie de crise, identifier et réaliser les obligations réglementaires post-crise, identifier les régularisation potentielles nécessaires liées à la gestion RH et enfin remercier les équipes pour leur travail et mobilisation;
- La cellule opérationnelle doit évaluer les solutions de contournement pour les maintenir ou les supprimer en lien avec les équipes métiers, fiabiliser le registre des risques/des dérogations, revoir à la baisse le rythme de mobilisation des équipes, maintenir la surveillance du SI (notamment sur le chemin d'attaque ayant déclenché la crise) et enfin remercier les équipes pour leur travail et mobilisation.",63,TOUT (tableau),,,
GCRI,GCRI.Q.16,Qu'est-ce qu'un RETEX suite à un déclenchement du dispositif de crise ? ,Usuelle,GCRI.R.16,"À la suite d’une crise, les équipes sont tentées de reprendre rapidement une activité normale. Pour autant, cette période de transition est le meilleur moment pour revenir sur la conduite de la crise et capitaliser sur ce qui a été vécu et ce qui pourrait être amélioré. Le retour d’expérience (RETEX) participe notamment à renforcer la résilience de l’organisation, en mettant en avant les points forts et les axes d’amélioration suite aux dysfonctionnements constatés. Il permet en particulier de pérenniser certains dispositifs de gestion de crise qui ont été jugés efficaces.",64,Premier paragraphe,,,
GCRI,GCRI.Q.17,Qu'est-ce qu'un CSIRT ? ,Usuelle,GCRI.R.17,"Un CSIRT (Computer Security Incident Response Team) est un centre d’alerte, de traitement et de réaction aux cyberattaques
destiné aux entreprises, aux administrations ou aux autorités.",72,Troisième paragraphe (colonne de gauche),,,
GCRI,GCRI.Q.19,Quels sont les outils généraux de crise à utiliser lors d'une crise cyber ?,Usuelle,GCRI.R.19,"Les outils généraux à l'ensemble des crises pouvant être utilisés lors d'une crise cyber sont :
- Salle de crise physique ou virtuelle
- Annuaire de crise (personnes internes et externes) accessible en cas de black-out
- Outil de suivi des actions
- Outil de main courante
- Outils de communication résilients / hors réseau : adresses mails génériques, tchat, visioconférence, téléphone fixes ou mobiles, etc.
- Fiches-rôle
- Fiches réflexes
- Contrats d’assurance",67,TOUT (tableau),,,
GHYG,GHYG.Q.1,Sur quels sujets les équipes opérationnelles doivent être formées ? Et à quelle fréquence ? ,Usuelle,GHYG.R.1,"Les équipes opérationnelles (administrateurs réseau, sécurité et système, chefs de projet, développeurs, RSSI) doivent, à leur prise de poste puis à intervalles réguliers - suivre des formations sur :
- la législation en vigueur ;
- les principaux risques et menaces ;
- le maintien en condition de sécurité ;
- l’authentification et le contrôle d’accès ;
- le paramétrage fin et le durcissement des systèmes ;
- le cloisonnement réseau ;
- et la journalisation. ",7,Quatrième paragraphe,,,
GHYG,GHYG.Q.2,Comment la sensibilisation peut être renforcée pour mes utilisateurs ?,Usuelle,GHYG.R.2,"Pour renforcer les mesures de sensibilisation en place, l'élaboration et la signature d'une charte des moyens informatiques précisant les règles et consignes que doivent respecter les utilisateurs peut être envisagée.",8,Troisième paragraphe,,,
GHYG,GHYG.Q.3,Qu'est-ce qu'un PAS ? ,Usuelle,GHYG.R.3,Un PAS (Plan d'assurance sécurité) est un document contractuel décrivant l’ensemble des dispositions spécifiques que les prestataires s’engagent à mettre en œuvre pour garantir le respect des exigences de sécurité spécifiées par l’entité.,9,Troisième paragraphe,,,
GHYG,GHYG.Q.4,Que peuvent être les données sensibles d'une entité ? ,Complexe,GHYG.R.4,"Chaque entité possède des données sensibles. Ces dernières peuvent porter sur son activité propre (propriété intellectuelle, savoir-faire, etc.) ou sur ses clients, administrés ou usagers (données personnelles, contrats, etc.). ",11,Premier paragraphe,,,
GHYG,GHYG.Q.5,Qu'est-ce qu'un compte à privilège ? ,Usuelle,GHYG.R.5,Un compte à privilège est un compte bénéficiant de droits spécifiques .Ces comptes sont des cibles privilégiées par les attaquants qui souhaitent obtenir un accès le plus large possible au système d'information.,12,Premier paragraphe,,,
GHYG,GHYG.Q.6,"Après avoir inventorié les comptes à privilège, si je maintien la liste à jour, existe-t-il d'autres actions à réaliser sur le sujet ? ",Complexe,GHYG.R.6,"Oui, il est fortement recommandé de procéder à une revue périodique de ces comptes afin de s’assurer que les accès aux éléments sensibles (notamment les répertoires de travail et la messagerie électronique des responsables) soient maitrisés. Ces revues permettront également de supprimer les accès devenus obsolètes suite au départ d’un utilisateur par exemple. ",12,Deuxième paragraphe,,,
GHYG,GHYG.Q.7,"Que sont les procédures d'arrivée, de départ et de changement de fonction ?",Usuelle,GHYG.R.7,"Les effectifs d’une entité, qu’elle soit publique ou privée, évoluent sans cesse : arrivées, départs, mobilité interne. Il est par conséquent nécessaire que les droits et les accès au système d’information soient mis à jour en fonction de ces évolutions. Il est notamment essentiel que l’ensemble des droits affectés à une personne soient révoqués lors de son départ ou en cas de changement de fonction. Les procédures d’arrivée et de départ doivent donc être définies, en lien avec la fonction ressources humaines.",13,Premier paragraphe,,,
GHYG,GHYG.Q.8,Pourquoi autoriser la connexion au réseau de l’entité aux seuls équipements maîtrisés ?,Complexe,GHYG.R.8,"Pour garantir la sécurité de son système d’information, l’entité doit maîtriser les équipements qui s’y connectent, chacun constituant un point d’entrée potentiellement vulnérable.",14,Premier paragraphe,,,
GHYG,GHYG.Q.9,Que veut dire distinguer les rôles des utilisateur/administrateur ? ,Usuelle,GHYG.R.9,Distinguer les rôles des utilisateurs et des administrateur veut dire fournir à chaque administrateur un compte d'administration nominatif distinct du compte utilisateur (dont les identifiants et secrets d'authentification sont différents).,16,Quatrième paragraphe,,,
GHYG,GHYG.Q.10,Quelles sont les mesures fondamentales à implémenter sur l'ensemble du parc informatique ? ,Usuelle,GHYG.R.10,"Il est recommandé de :
- limiter les applications installées et modules optionnels des navigateurs web aux seuls nécessaires ;
- doter les postes utilisateurs d’un pare-feu local et d’un anti-virus (ceux-ci sont parfois inclus dans le système d’exploitation) ;
- chiffrer les partitions où sont stockées les données des utilisateurs ;
- désactiver les exécutions automatiques (autorun).",23,Premier paragraphe,,,
GHYG,GHYG.Q.11,Pourquoi activer le pare-feu local des postes de travail ? Et comment le faire ? ,Usuelle,GHYG.R.11,"Après avoir réussi à prendre le contrôle d’un poste de travail (à cause, par exemple, d’une vulnérabilité présente dans le navigateur Internet), un attaquant cherchera souvent à étendre son intrusion aux autres postes de travail pour, in fine, accéder aux documents des utilisateurs.
Afin de rendre plus difficile ce déplacement latéral de l’attaquant, il est nécessaire d’activer le pare-feu local des postes de travail au moyen de logiciels intégrés (pare-feu local Windows) ou spécialisés.",26,Premier et deuxième paragraphes,,,
GHYG,GHYG.Q.12,Comment transmettre le secret permettant de chiffrer les données transitant sur internet ? ,Usuelle,GHYG.R.12,"La transmission du secret (mot de passe, clé, etc.) permettant alors de déchiffrer les données, si elle est nécessaire, doit être effectuée via un canal de confiance ou, à défaut, un canal distinct du canal de transmission des données. Ainsi, si les données chiffrées sont transmises par courriel, une remise en main propre du mot de passe ou, à défaut, par téléphone doit être privilégiée",27,Troisième paragraphe,,,
GHYG,GHYG.Q.13,Qu'est-ce que le cloisonnement par zone de sécurité ? ,Usuelle,GHYG.R.13,"Il est important, dès la conception de l’architecture réseau, de raisonner par segmentation en zones composées de systèmes ayant des besoins de sécurité homogènes. On pourra par exemple regrouper distinctement des serveurs d’infrastructure, des serveurs métiers, des postes de travail utilisateurs, des postes de travail administrateurs, des postes de téléphonie sur IP, etc.
Une zone se caractérise alors par des VLAN et des sous-réseaux IP dédiés voire par des infrastructures dédiées selon sa criticité. Ainsi, des mesures de cloisonnement telles qu’un filtrage IP à l’aide d’un pare-feu peuvent être mises en place entre les différentes zones. On veillera en particulier à cloisonner autant que possible les équipements et flux associés aux tâches d’administration.",29,Deuxième et troisième paragraphe,,,
GHYG,GHYG.Q.14,Est-ce que la protection du réseau Wi-Fi par un mot de passe unique est suffisante ?,Complexe,GHYG.R.14,"Non, cela n'est pas conseillé. Il est important d’avoir recours prioritairement à un chiffrement robuste (mode WPA2, algorithme AES CCMP) et à une authentification centralisée, si possible par certificats clients des machines.
À défaut, le mot de passe doit être complexe et son renouvellement prévu mais il ne doit en aucun cas être diffusé à des tiers non autorisés.",30,Troisième et quatrième paragraphe,,,
GHYG,GHYG.Q.15,Quels sont les protocoles réseaux sécurisés régulièrement utilisés ? ,Complexe,GHYG.R.15,"Les protocoles réseaux sécurisés les plus courants reposent sur l'utilsiation de TLS et sont souvent identifiables par l'ajout de la lettre ""s"" à l'acronyme du protocole. On retrouve par exemple HTTPS pour la navigation Web ou IMAPS, SMTPS ou POP3S pour la messagerie.",31,Troisième paragraphe,,,
GHYG,GHYG.Q.16,Comment doivent être gérés les accès physiques à un datacenter ? ,Usuelle,GHYG.R.16,"Les accès aux salles serveurs et aux locaux techniques doivent être contrôlés à l’aide de serrures ou de mécanismes de contrôle d’accès par badge. Les accès non accompagnés des prestataires extérieurs aux salles serveurs et aux locaux techniques sont à proscrire, sauf s’il est possible de tracer strictement les accès et de limiter ces derniers en fonction des plages horaires. Une revue des droits d’accès doit être réalisée régulièrement afin d’identifier les accès non autorisés.",37,Deuxième paragraphe,,,
